CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
00998,United States (Metropolitan Portion),17619114703,18559169489,19382012142,19247784806,21227124988,23080903727
10180,"Abilene, TX (Metropolitan Statistical Area)",6827152,7301986,7760094,7851865,8486108,9468978
10420,"Akron, OH (Metropolitan Statistical Area)",36424857,37615672,39043993,38383374,41382320,44562456
10500,"Albany, GA (Metropolitan Statistical Area)",5693673,5823243,6103578,6210223,6824895,7312400
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",4505965,4955241,5131645,5043616,5565138,6107649
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",61024034,62555399,67100696,66974683,74052787,80302855
10740,"Albuquerque, NM (Metropolitan Statistical Area)",41881258,43567309,45800576,46160718,49939735,53861763
10780,"Alexandria, LA (Metropolitan Statistical Area)",6081708,6312319,6427840,6470725,7060389,7459955
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",44541436,45594626,48330164,47192898,50740678,54322843
11020,"Altoona, PA (Metropolitan Statistical Area)",5849536,6058725,6330242,6288903,6793582,7237590
11100,"Amarillo, TX (Metropolitan Statistical Area)",13044032,13721125,14306933,14703181,16048336,17375642
11180,"Ames, IA (Metropolitan Statistical Area)",6445208,6701531,6940894,7035640,7619777,8103976
11260,"Anchorage, AK (Metropolitan Statistical Area)",25842697,26668168,27249991,26942211,29332509,31569987
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",24040003,25061817,26448632,26578850,28686650,30556485
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4244400,4456595,4755016,4727646,5142683,5466368
11540,"Appleton, WI (Metropolitan Statistical Area)",13810008,14503217,15219377,14873242,15853995,16977033
11700,"Asheville, NC (Metropolitan Statistical Area)",19857995,20965941,22426540,21706804,23810758,26228006
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",9980018,10574802,10751626,10595857,11581233,12628127
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",398208502,420534764,447101531,437138268,481142496,525888412
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",13521560,13936714,14456161,13765315,15510890,16851079
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",6138724,6252206,6636401,6642063,7359897,8255829
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",27076189,28163772,29352497,29829465,31706183,34184537
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",141102903,151747891,164432513,171619050,195828575,222054436
12540,"Bakersfield, CA (Metropolitan Statistical Area)",43812095,45646364,46707513,45582252,52042876,57540870
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",198332437,204559676,210318322,207235810,224574650,241399485
12620,"Bangor, ME (Metropolitan Statistical Area)",6360893,6758301,7087100,7287927,7868694,8551429
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",12764776,13348266,14226048,13625562,15061804,16351415
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",52326375,58248716,57261687,53111408,57269865,62951412
12980,"Battle Creek, MI (Metropolitan Statistical Area)",6450941,6543076,6625286,6719789,7328300,7727860
13020,"Bay City, MI (Metropolitan Statistical Area)",3539706,3693350,3675603,3770922,4277975,4591500
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",24454169,27639267,26194838,21397593,24975789,29006651
13220,"Beckley, WV (Metropolitan Statistical Area)",3990112,4165865,4376287,4181035,4569372,5187045
13380,"Bellingham, WA (Metropolitan Statistical Area)",11651236,13424805,14289759,13900916,16502049,19595016
13460,"Bend, OR (Metropolitan Statistical Area)",9523750,10081597,10929309,11212694,12787184,13877714
13740,"Billings, MT (Metropolitan Statistical Area)",10233635,10991271,10652619,10263592,11944409,13207756
13780,"Binghamton, NY (Metropolitan Statistical Area)",10763033,10999672,11486086,11143215,11856523,12658766
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",60645897,63509748,65908298,66273515,72864973,79098010
13900,"Bismarck, ND (Metropolitan Statistical Area)",7656673,7721524,7797205,7581431,8313375,8880585
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",7016349,7494442,7555189,7566016,8316676,9059527
14010,"Bloomington, IL (Metropolitan Statistical Area)",14476949,14956898,15472254,13264728,13573522,14430876
14020,"Bloomington, IN (Metropolitan Statistical Area)",7406889,7826600,7914488,7826965,8334245,9085369
