GeoFips,GeoName,2020,2021,2022
10180,"Abilene, TX",7851865.0,8486108.0,9468978.0
10420,"Akron, OH",38383374.0,41382320.0,44562456.0
10500,"Albany, GA",6210223.0,6824895.0,7312400.0
10540,"Albany-Lebanon, OR",5043616.0,5565138.0,6107649.0
10580,"Albany-Schenectady-Troy, NY",66974683.0,74052787.0,80302855.0
10740,"Albuquerque, NM",46160718.0,49939735.0,53861763.0
10780,"Alexandria, LA",6470725.0,7060389.0,7459955.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",47192898.0,50740678.0,54322843.0
11020,"Altoona, PA",6288903.0,6793582.0,7237590.0
11100,"Amarillo, TX",14703181.0,16048336.0,17375642.0
11180,"Ames, IA",7035640.0,7619777.0,8103976.0
11260,"Anchorage, AK",26942211.0,29332509.0,31569987.0
11460,"Ann Arbor, MI",26578850.0,28686650.0,30556485.0
11500,"Anniston-Oxford, AL",4727646.0,5142683.0,5466368.0
11540,"Appleton, WI",14873242.0,15853995.0,16977033.0
11700,"Asheville, NC",21706804.0,23810758.0,26228006.0
12020,"Athens-Clarke County, GA",10595857.0,11581233.0,12628127.0
12060,"Atlanta-Sandy Springs-Alpharetta, GA",437138268.0,481142496.0,525888412.0
12100,"Atlantic City-Hammonton, NJ",13765315.0,15510890.0,16851079.0
12220,"Auburn-Opelika, AL",6642063.0,7359897.0,8255829.0
12260,"Augusta-Richmond County, GA-SC",29829465.0,31706183.0,34184537.0
12420,"Austin-Round Rock-Georgetown, TX",171619050.0,195828575.0,222054436.0
12540,"Bakersfield, CA",45582252.0,52042876.0,57540870.0
12580,"Baltimore-Columbia-Towson, MD",207235810.0,224574650.0,241399485.0
12620,"Bangor, ME",7287927.0,7868694.0,8551429.0
12700,"Barnstable Town, MA",13625562.0,15061804.0,16351415.0
12940,"Baton Rouge, LA",53111408.0,57269865.0,62951412.0
12980,"Battle Creek, MI",6719789.0,7328300.0,7727860.0
13020,"Bay City, MI",3770922.0,4277975.0,4591500.0
13140,"Beaumont-Port Arthur, TX",21397593.0,24975789.0,29006651.0
13220,"Beckley, WV",4181035.0,4569372.0,5187045.0
13380,"Bellingham, WA",13900916.0,16502049.0,19595016.0
13460,"Bend, OR",11212694.0,12787184.0,13877714.0
13740,"Billings, MT",10263592.0,11944409.0,13207756.0
13780,"Binghamton, NY",11143215.0,11856523.0,12658766.0
13820,"Birmingham-Hoover, AL",66273515.0,72864973.0,79098010.0
13900,"Bismarck, ND",7581431.0,8313375.0,8880585.0
13980,"Blacksburg-Christiansburg, VA",7566016.0,8316676.0,9059527.0
