NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022
"Abilene, TX",Metropolitan Statistical Area,176561,176866,177829,179308,305,963,1479
"Akron, OH",Metropolitan Statistical Area,702226,701625,696225,697627,-601,-5400,1402
"Albany, GA",Metropolitan Statistical Area,148919,148244,144922,145786,-675,-3322,864
"Albany-Lebanon, OR",Metropolitan Statistical Area,128610,128978,129948,130467,368,970,519
"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899251,899748,905369,904617,497,5621,-752
"Albuquerque, NM",Metropolitan Statistical Area,916517,917502,918970,919543,985,1468,573
"Alexandria, LA",Metropolitan Statistical Area,152193,151792,150960,149189,-401,-832,-1771
"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,861915,861508,869765,871229,-407,8257,1464
"Altoona, PA",Metropolitan Statistical Area,122820,122651,122181,121032,-169,-470,-1149
"Amarillo, TX",Metropolitan Statistical Area,268692,269018,269853,271171,326,835,1318
"Ames, IA",Metropolitan Statistical Area,125251,125345,126442,126282,94,1097,-160
"Anchorage, AK",Metropolitan Statistical Area,398326,398381,399761,400470,55,1380,709
"Ann Arbor, MI",Metropolitan Statistical Area,372265,371817,364998,366376,-448,-6819,1378
"Anniston-Oxford, AL",Metropolitan Statistical Area,116444,116239,115677,115788,-205,-562,111
"Appleton, WI",Metropolitan Statistical Area,243143,243423,243896,244845,280,473,949
"Asheville, NC",Metropolitan Statistical Area,469014,469686,472856,476072,672,3170,3216
"Athens-Clarke County, GA",Metropolitan Statistical Area,215417,215699,218235,220405,282,2536,2170
"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,6089755,6103261,6143138,6222106,13506,39877,78968
"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,274536,274172,275130,275638,-364,958,508
"Auburn-Opelika, AL",Metropolitan Statistical Area,174244,174742,177655,180773,498,2913,3118
"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,610983,612147,616261,624083,1164,4114,7822
"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,2283390,2299994,2358130,2421115,16604,58136,62985
"Bakersfield, CA",Metropolitan Statistical Area,909244,905828,912351,916108,-3416,6523,3757
"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,2844513,2842463,2843354,2835672,-2050,891,-7682
"Bangor, ME",Metropolitan Statistical Area,152202,152165,152834,153704,-37,669,870
"Barnstable Town, MA",Metropolitan Statistical Area,229004,228856,232594,232457,-148,3738,-137
"Baton Rouge, LA",Metropolitan Statistical Area,870569,870220,872673,873060,-349,2453,387
